TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
85429139,4015.01,TIC 85429139.01,3,4,3,3,1,4,4,102.2,119.8,1,2,0,PC,PC,10.767,0.006,,1,qlp,03:33:40.8,68:36:45.6,24.156,0.036,-18.145,0.044,2459003.352618,0.0005286,4.7426569,0.000279,3.112,0.09,14.614208,0.002014,13370,1.85475,17.8436,.883618,320.426,1178,91,309.161,2.854,5947,150.8,4.12,.08,1.51,.07,,,1.087,.144013,"19,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search; CTOI from Olmschenk et al. (2021)"
461491274,4016.01,,3,4,3,3,1,4,4,13.4,42.9,1,0,0,PC,PC,13.1216,0.006,,1,qlp,00:21:06.71,66:49:56.44,2.496,2.183,-0.106,2.183,2459005.832765,0.0026735,1.813812,0.0000362,1.025,0.249,3.610641,0.02563,3320,23.6061,,,64.7075,790,10,,,4032.5,113,,,,,,,,,"17,18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
407313319,4017.01,,3,4,3,3,1,4,4,21.3,18.2,1,0,0,PC,PC,12.636,0.025,,1,qlp,00:30:57.5,68:27:18.39,-2.673,0.029,-1.635,0.024,2458995.506525,0.0026569,7.0422721,0.0001636,2.598,0.257,5.998949,0.008536,5510,7.86199,14.5915,,52.7435,750,15,558.336,5.8795,4892,122,,,1.88,,,,,,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
407243316,4018.01,,3,4,3,3,1,4,4,14.4,47.2,1,0,0,PC,PC,13.4612,0.006,,1,qlp,00:28:51.35,66:28:05.48,-1.383,2.223,-0.584,2.223,2459007.342105,0.0031615,3.0756397,0.0000639,1.31,0.235,6.490348,0.021984,5960,20.2476,,,46.3294,726,10,,,4355.4,177.7,,,,,,,,,"17,18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
284305328,4019.01,,3,4,3,3,1,4,4,58,99.9,1,0,0,PC,PC,12.6967,0.006,,1,qlp,00:36:41,65:56:14.95,-2.717,0.028,-2.005,0.028,2459006.226259,0.0013589,2.2963814,0.0000219,2.649,0.248,8.666096,0.28633,7950,263.685,20.9239,6.70331,5163.1,2361,49,554.728,5.6135,6620,1539.9,4.04,,1.87,.52,,,1.387,,"17,18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"V-shaped; found in faint-star QLP search"
10974783,4020.01,,5,5,5,5,5,5,5,24.3,85.5,0,0,0,PC,FA,11.852,0.201,,1,qlp,01:57:41.53,63:54:15.8,,,,,2459005.312333,0.0020905,3.2175308,0.0000574,3.287,0.957,5.420475,0.016284,4980,14.9984,,,,,29,1245.57,,,,,,,,,,,,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
10507330,4021.01,,3,4,3,3,1,4,4,28,81.3,1,2,0,PC,PC,11.08,0.006,,1,qlp,01:54:37.85,64:34:11.46,13.144,0.034,-4.132,0.04,2459001.069047,0.0018387,5.1174952,0.000083,1.655,0.769,3.643322,0.072523,3350,66.7942,13.7718,1.95139,314.439,1173,19,488.31,6.394,6429,195.1,3.92,.09,2.07,.09,,,1.298,.220097,"18,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
1271152446,4022.01,,3,4,3,3,1,4,4,8.6,46.5,0,0,0,PC,PC,13.3972,0.006,,1,qlp,17:00:30.93,59:37:32.38,-12.584,0.457,9.774,0.506,2459003.79283,0.0032475,7.2087494,0.0001237,3.567,0.258,6.883628,0.005291,6320,4.87313,,,,,24,506.754,63.5655,,,,,,,,,,,"14,15,16,17,18,19,20,21,22,23,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
470678283,4023.01,,3,4,3,3,1,4,4,21.7,60.8,0,0,0,PC,PC,13.4975,0.006,,1,qlp,19:48:07.89,85:04:33.79,-3.171,2.248,-1.11,2.249,2459006.672413,0.0025587,2.7991698,0.0000478,2.089,0.202,9.815864,0.01028,9000,9.46833,,,199.861,1047,18,,,4841.6,165.3,,,,,,,,,"18,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
470169396,4024.01,,3,4,3,3,1,4,4,14.8,32.3,0,0,0,PC,PC,13.2309,0.008,,1,qlp,22:22:30.63,78:15:44.4,-0.965,0.099,-2.444,0.103,2458998.28593,0.0038972,6.3259763,0.0002271,5.611,0.489,5.202262,0.004917,4780,4.52911,13.1831,,623.904,1392,14,958.682,59.929,5842,122,3.9,,1.9,,,,1.05,,"17,18,19,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
441730540,4025.01,,3,4,3,3,1,4,4,4.2,22,0,0,0,PC,PC,13.3177,0.007,,1,qlp,17:09:47.73,77:29:07.18,-1.806,0.023,-2.549,0.031,2458979.742438,0.0099089,16.2853673,0.0009746,5.844,0.636,5.158625,0.006684,4740,6.15583,8.28683,,101.125,883,17,769.204,8.56,5770,122,4.29,,1.2,,,,1.03,,"14,16,17,18,19,20,21,22,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
428963229,4026.01,,3,4,3,3,1,4,4,16.5,54.5,0,0,0,PC,PC,13.1759,0.006,,1,qlp,23:01:37.31,73:36:35.62,19.403,2.211,2.667,2.21,2459004.420931,0.0026702,3.1239727,0.0000557,2.653,0.257,5.464122,0.006012,5020,5.53754,,,275.375,1134,15,497.594,,4861,317.5,,,,,,,,,"17,18,19,24,25",2021-06-23,2021-06-23,2021-08-19 00:00:00,"found in faint-star QLP search"
